"Resistance.gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","Contig","Position.in.contig","Phenotype","Accession.no.","Sample"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGG010000016.1 Escherichia coli strain 41227 contig00016, whole genome shotgun sequence","298..1923","Colistin","KP347127","GCA_045954595.1"
"mph(B)",100,"909/909",100,"1..909","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","4723..5631","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045954595.1"
"sul1",100,"840/840",100,"1..840","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","13363..14202","Sulfamethoxazole","U12338","GCA_045954595.1"
"sul2",99.88,"816/816",100,"1..816","JBICGG010000093.1 Escherichia coli strain 41227 contig00093, whole genome shotgun sequence","140..955","Sulfamethoxazole","HQ840942","GCA_045954595.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","18158..20077","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045954595.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","26293..27492","Doxycycline, Tetracycline","AJ517790","GCA_045954595.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","15591..16064","Trimethoprim","AF203818","GCA_045954595.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","15591..16064","Trimethoprim","AJ238350","GCA_045954595.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGG010000043.1 Escherichia coli strain 41227 contig00043, whole genome shotgun sequence","15591..16064","Trimethoprim","X00926","GCA_045954595.1"
"aadA1",100,"792/792",100,"1..792","JBICGH010000069.1 Escherichia coli strain 41223 contig00069, whole genome shotgun sequence","12712..13503","Spectinomycin, Streptomycin","JX185132","GCA_045954675.1"
"aac(3)-IIa",100,"861/861",100,"1..861","JBICGH010000103.1 Escherichia coli strain 41223 contig00103, whole genome shotgun sequence","2460..3320","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin, Gentamicin, Tobramycin","X51534","GCA_045954675.1"
"aadA5",100,"789/789",100,"1..789","JBICGH010000126.1 Escherichia coli strain 41223 contig00126, whole genome shotgun sequence","246..1034","Spectinomycin, Streptomycin","AF137361","GCA_045954675.1"
"aph(6)-Id",99.88,"837/837",100,"1..837","JBICGH010000128.1 Escherichia coli strain 41223 contig00128, whole genome shotgun sequence","107..943","Streptomycin","M28829","GCA_045954675.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICGH010000128.1 Escherichia coli strain 41223 contig00128, whole genome shotgun sequence","943..1745","Streptomycin","AF024602","GCA_045954675.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICGH010000128.1 Escherichia coli strain 41223 contig00128, whole genome shotgun sequence","943..1746","Streptomycin","AF321551","GCA_045954675.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICGH010000128.1 Escherichia coli strain 41223 contig00128, whole genome shotgun sequence","943..1746","Streptomycin","AF313472","GCA_045954675.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICGH010000128.1 Escherichia coli strain 41223 contig00128, whole genome shotgun sequence","943..1746","Streptomycin","AF321550","GCA_045954675.1"
"aph(3')-Ia",100,"814/816",99.7549019607843,"1..814","JBICGH010000147.1 Escherichia coli strain 41223 contig00147, whole genome shotgun sequence","67..880","Unknown Aminoglycoside, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Kanamycin, Neomycin","V00359","GCA_045954675.1"
"blaCTX-M-1",100,"876/876",100,"1..876","JBICGH010000030.1 Escherichia coli strain 41223 contig00030, whole genome shotgun sequence","19889..20764","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","DQ915955","GCA_045954675.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGH010000114.1 Escherichia coli strain 41223 contig00114, whole genome shotgun sequence","909..2534","Colistin","KP347127","GCA_045954675.1"
"mph(B)",100,"909/909",100,"1..909","JBICGH010000069.1 Escherichia coli strain 41223 contig00069, whole genome shotgun sequence","2728..3636","Erythromycin, Spiramycin, Telithromycin","D85892","GCA_045954675.1"
"catA1",99.85,"660/660",100,"1..660","JBICGH010000094.1 Escherichia coli strain 41223 contig00094, whole genome shotgun sequence","4237..4896","Chloramphenicol","V00622","GCA_045954675.1"
"sul1",100,"840/840",100,"1..840","JBICGH010000069.1 Escherichia coli strain 41223 contig00069, whole genome shotgun sequence","11368..12207","Sulfamethoxazole","U12338","GCA_045954675.1"
"sul2",100,"791/819",96.5811965811966,"1..791","JBICGH010000142.1 Escherichia coli strain 41223 contig00142, whole genome shotgun sequence","1..791","Sulfamethoxazole","AJ514834","GCA_045954675.1"
"sul2",100,"791/852",92.8403755868545,"1..791","JBICGH010000142.1 Escherichia coli strain 41223 contig00142, whole genome shotgun sequence","1..791","Sulfamethoxazole","FJ197818","GCA_045954675.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICGH010000142.1 Escherichia coli strain 41223 contig00142, whole genome shotgun sequence","1..791","Sulfamethoxazole","AY034138","GCA_045954675.1"
"tet(A)",100,"1200/1200",100,"1..1200","JBICGH010000097.1 Escherichia coli strain 41223 contig00097, whole genome shotgun sequence","2107..3306","Doxycycline, Tetracycline","AJ517790","GCA_045954675.1"
"tet(M)",99.17,"1920/1920",100,"1..1920","JBICGH010000111.1 Escherichia coli strain 41223 contig00111, whole genome shotgun sequence","833..2752","Doxycycline, Tetracycline, Minocycline","U58985","GCA_045954675.1"
"dfrA17",100,"474/474",100,"1..474","JBICGH010000126.1 Escherichia coli strain 41223 contig00126, whole genome shotgun sequence","1165..1638","Trimethoprim","FJ460238","GCA_045954675.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGH010000175.1 Escherichia coli strain 41223 contig00175, whole genome shotgun sequence","22..495","Trimethoprim","AF203818","GCA_045954675.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGH010000175.1 Escherichia coli strain 41223 contig00175, whole genome shotgun sequence","22..495","Trimethoprim","AJ238350","GCA_045954675.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGH010000175.1 Escherichia coli strain 41223 contig00175, whole genome shotgun sequence","22..495","Trimethoprim","X00926","GCA_045954675.1"
"aadA2",100,"792/792",100,"1..792","JBICGI010000071.1 Escherichia coli strain 41169 contig00071, whole genome shotgun sequence","1022..1813","Spectinomycin, Streptomycin","JQ364967","GCA_045954735.1"
"aadA5",100,"789/789",100,"1..789","JBICGI010000087.1 Escherichia coli strain 41169 contig00087, whole genome shotgun sequence","729..1517","Spectinomycin, Streptomycin","AF137361","GCA_045954735.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICGI010000091.1 Escherichia coli strain 41169 contig00091, whole genome shotgun sequence","9..845","Streptomycin","M28829","GCA_045954735.1"
"aph(3'')-Ib",100,"803/804",99.8756218905473,"2..804","JBICGI010000091.1 Escherichia coli strain 41169 contig00091, whole genome shotgun sequence","845..1647","Streptomycin","AF024602","GCA_045954735.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICGI010000091.1 Escherichia coli strain 41169 contig00091, whole genome shotgun sequence","845..1648","Streptomycin","AF321551","GCA_045954735.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICGI010000091.1 Escherichia coli strain 41169 contig00091, whole genome shotgun sequence","845..1648","Streptomycin","AF313472","GCA_045954735.1"
"aph(3'')-Ib",99.88,"804/804",100,"1..804","JBICGI010000091.1 Escherichia coli strain 41169 contig00091, whole genome shotgun sequence","845..1648","Streptomycin","AF321550","GCA_045954735.1"
"aadA1",100,"792/792",100,"1..792","JBICGI010000115.1 Escherichia coli strain 41169 contig00115, whole genome shotgun sequence","16..807","Spectinomycin, Streptomycin","JQ414041","GCA_045954735.1"
"blaCTX-M-1",100,"876/876",100,"1..876","JBICGI010000086.1 Escherichia coli strain 41169 contig00086, whole genome shotgun sequence","502..1377","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","DQ915955","GCA_045954735.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICGI010000094.1 Escherichia coli strain 41169 contig00094, whole genome shotgun sequence","149..1009","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045954735.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGI010000075.1 Escherichia coli strain 41169 contig00075, whole genome shotgun sequence","989..2614","Colistin","KP347127","GCA_045954735.1"
"mph(A)",100,"906/906",100,"1..906","JBICGI010000081.1 Escherichia coli strain 41169 contig00081, whole genome shotgun sequence","46..951","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045954735.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICGI010000071.1 Escherichia coli strain 41169 contig00071, whole genome shotgun sequence","2075..3334","Chloramphenicol","M64556","GCA_045954735.1"
"FloR",99.75,"1215/1215",100,"1..1215","JBICGI010000072.1 Escherichia coli strain 41169 contig00072, whole genome shotgun sequence","1008..2222","Chloramphenicol,Florfenicol","CP136914","GCA_045954735.1"
"catA1",99.85,"660/660",100,"1..660","JBICGI010000088.1 Escherichia coli strain 41169 contig00088, whole genome shotgun sequence","721..1380","Chloramphenicol","V00622","GCA_045954735.1"
"sul3",100,"792/792",100,"1..792","JBICGI010000077.1 Escherichia coli strain 41169 contig00077, whole genome shotgun sequence","1475..2266","Sulfamethoxazole","AJ459418","GCA_045954735.1"
"sul1",100,"840/840",100,"1..840","JBICGI010000093.1 Escherichia coli strain 41169 contig00093, whole genome shotgun sequence","306..1145","Sulfamethoxazole","U12338","GCA_045954735.1"
"sul2",100,"791/819",96.5811965811966,"1..791","JBICGI010000117.1 Escherichia coli strain 41169 contig00117, whole genome shotgun sequence","1..791","Sulfamethoxazole","AJ514834","GCA_045954735.1"
"sul2",100,"791/852",92.8403755868545,"1..791","JBICGI010000117.1 Escherichia coli strain 41169 contig00117, whole genome shotgun sequence","1..791","Sulfamethoxazole","FJ197818","GCA_045954735.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICGI010000117.1 Escherichia coli strain 41169 contig00117, whole genome shotgun sequence","1..791","Sulfamethoxazole","AY034138","GCA_045954735.1"
"tet(M)",96.15,"1920/1920",100,"1..1920","JBICGI010000065.1 Escherichia coli strain 41169 contig00065, whole genome shotgun sequence","1976..3895","Doxycycline, Tetracycline, Minocycline","X04388","GCA_045954735.1"
"tet(B)",100,"1206/1206",100,"1..1206","JBICGI010000067.1 Escherichia coli strain 41169 contig00067, whole genome shotgun sequence","2110..3315","Doxycycline, Tetracycline, Minocycline","AF326777","GCA_045954735.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICGI010000070.1 Escherichia coli strain 41169 contig00070, whole genome shotgun sequence","1056..2255","Doxycycline, Tetracycline","AJ517790","GCA_045954735.1"
"dfrA12",100,"498/498",100,"1..498","JBICGI010000071.1 Escherichia coli strain 41169 contig00071, whole genome shotgun sequence","117..614","Trimethoprim","AM040708","GCA_045954735.1"
"dfrA17",100,"474/474",100,"1..474","JBICGI010000087.1 Escherichia coli strain 41169 contig00087, whole genome shotgun sequence","125..598","Trimethoprim","FJ460238","GCA_045954735.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGI010000119.1 Escherichia coli strain 41169 contig00119, whole genome shotgun sequence","129..602","Trimethoprim","AF203818","GCA_045954735.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGI010000119.1 Escherichia coli strain 41169 contig00119, whole genome shotgun sequence","129..602","Trimethoprim","AJ238350","GCA_045954735.1"
"dfrA1",99.79,"474/474",100,"1..474","JBICGI010000119.1 Escherichia coli strain 41169 contig00119, whole genome shotgun sequence","129..602","Trimethoprim","X00926","GCA_045954735.1"
"aph(4)-Ia",100,"1026/1026",100,"1..1026","JBICGL010000038.1 Escherichia coli strain 41149 contig00038, whole genome shotgun sequence","1165..2190","Hygromycin","V01499","GCA_045954755.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICGL010000038.1 Escherichia coli strain 41149 contig00038, whole genome shotgun sequence","160..936","Gentamicin, Tobramycin","DQ241380","GCA_045954755.1"
"aadA1",100,"792/792",100,"1..792","JBICGL010000055.1 Escherichia coli strain 41149 contig00055, whole genome shotgun sequence","1668..2459","Spectinomycin, Streptomycin","JQ414041","GCA_045954755.1"
"aadA2",100,"792/792",100,"1..792","JBICGL010000061.1 Escherichia coli strain 41149 contig00061, whole genome shotgun sequence","1559..2350","Spectinomycin, Streptomycin","JQ364967","GCA_045954755.1"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICGL010000072.1 Escherichia coli strain 41149 contig00072, whole genome shotgun sequence","334..1194","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045954755.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICGL010000074.1 Escherichia coli strain 41149 contig00074, whole genome shotgun sequence","264..1079","Unknown Aminoglycoside, Kanamycin, Neomycin, Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","V00359","GCA_045954755.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICGL010000009.1 Escherichia coli strain 41149 contig00009, whole genome shotgun sequence","4446..5306","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045954755.1"
"blaCTX-M-32",100,"876/876",100,"1..876","JBICGL010000045.1 Escherichia coli strain 41149 contig00045, whole genome shotgun sequence","1406..2281","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AJ557142","GCA_045954755.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGL010000029.1 Escherichia coli strain 41149 contig00029, whole genome shotgun sequence","3549..5174","Colistin","KP347127","GCA_045954755.1"
"mph(A)",100,"906/906",100,"1..906","JBICGL010000040.1 Escherichia coli strain 41149 contig00040, whole genome shotgun sequence","181..1086","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045954755.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICGL010000038.1 Escherichia coli strain 41149 contig00038, whole genome shotgun sequence","5696..6910","Chloramphenicol,Florfenicol","CP136914","GCA_045954755.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICGL010000055.1 Escherichia coli strain 41149 contig00055, whole genome shotgun sequence","316..1575","Chloramphenicol","M64556","GCA_045954755.1"
"catA1",99.85,"660/660",100,"1..660","JBICGL010000057.1 Escherichia coli strain 41149 contig00057, whole genome shotgun sequence","2017..2676","Chloramphenicol","V00622","GCA_045954755.1"
"sul1",100,"840/840",100,"1..840","JBICGL010000040.1 Escherichia coli strain 41149 contig00040, whole genome shotgun sequence","6397..7236","Sulfamethoxazole","U12338","GCA_045954755.1"
"sul3",100,"792/792",100,"1..792","JBICGL010000056.1 Escherichia coli strain 41149 contig00056, whole genome shotgun sequence","2130..2921","Sulfamethoxazole","AJ459418","GCA_045954755.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICGL010000050.1 Escherichia coli strain 41149 contig00050, whole genome shotgun sequence","1165..2364","Doxycycline, Tetracycline","AJ517790","GCA_045954755.1"
"tet(M)",96.15,"1920/1920",100,"1..1920","JBICGL010000053.1 Escherichia coli strain 41149 contig00053, whole genome shotgun sequence","432..2351","Doxycycline, Tetracycline, Minocycline","X04388","GCA_045954755.1"
"dfrA12",100,"498/498",100,"1..498","JBICGL010000061.1 Escherichia coli strain 41149 contig00061, whole genome shotgun sequence","654..1151","Trimethoprim","AM040708","GCA_045954755.1"
"aadA2",100,"792/792",100,"1..792","JBICGJ010000056.1 Escherichia coli strain 41168 contig00056, whole genome shotgun sequence","4681..5472","Spectinomycin, Streptomycin","JQ364967","GCA_045954775.1"
"aadA1",100,"792/792",100,"1..792","JBICGJ010000056.1 Escherichia coli strain 41168 contig00056, whole genome shotgun sequence","7086..7877","Spectinomycin, Streptomycin","JQ414041","GCA_045954775.1"
"blaCTX-M-14",100,"876/876",100,"1..876","JBICGJ010000019.1 Escherichia coli strain 41168 contig00019, whole genome shotgun sequence","79428..80303","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AF252622","GCA_045954775.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICGJ010000035.1 Escherichia coli strain 41168 contig00035, whole genome shotgun sequence","257..1117","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045954775.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGJ010000037.1 Escherichia coli strain 41168 contig00037, whole genome shotgun sequence","27056..28681","Colistin","KP347127","GCA_045954775.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICGJ010000056.1 Escherichia coli strain 41168 contig00056, whole genome shotgun sequence","5734..6993","Chloramphenicol","M64556","GCA_045954775.1"
"sul3",100,"792/792",100,"1..792","JBICGJ010000070.1 Escherichia coli strain 41168 contig00070, whole genome shotgun sequence","186..977","Sulfamethoxazole","AJ459418","GCA_045954775.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICGJ010000065.1 Escherichia coli strain 41168 contig00065, whole genome shotgun sequence","1166..2365","Doxycycline, Tetracycline","AJ517790","GCA_045954775.1"
"tet(M)",96.15,"1920/1920",100,"1..1920","JBICGJ010000068.1 Escherichia coli strain 41168 contig00068, whole genome shotgun sequence","432..2351","Doxycycline, Tetracycline, Minocycline","X04388","GCA_045954775.1"
"dfrA12",100,"498/498",100,"1..498","JBICGJ010000056.1 Escherichia coli strain 41168 contig00056, whole genome shotgun sequence","3776..4273","Trimethoprim","AM040708","GCA_045954775.1"
"ant(2'')-Ia",100,"534/534",100,"1..534","JBICGK010000072.1 Escherichia coli strain 41159 contig00072, whole genome shotgun sequence","159..692","Gentamicin, Tobramycin","X04555","GCA_045954795.1"
"aph(6)-Id",100,"837/837",100,"1..837","JBICGK010000087.1 Escherichia coli strain 41159 contig00087, whole genome shotgun sequence","120..956","Streptomycin","M28829","GCA_045954795.1"
"aph(3'')-Ib",100,"804/804",100,"1..804","JBICGK010000087.1 Escherichia coli strain 41159 contig00087, whole genome shotgun sequence","956..1759","Streptomycin","AF321551","GCA_045954795.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICGK010000098.1 Escherichia coli strain 41159 contig00098, whole genome shotgun sequence","264..1079","Unknown Aminoglycoside, Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Kanamycin, Neomycin","V00359","GCA_045954795.1"
"aadA1",100,"683/789",86.5652724968314,"1..683","JBICGK010000114.1 Escherichia coli strain 41159 contig00114, whole genome shotgun sequence","11..693","Spectinomycin, Streptomycin","JQ480156","GCA_045954795.1"
"aadA1",100,"683/792",86.2373737373737,"1..683","JBICGK010000114.1 Escherichia coli strain 41159 contig00114, whole genome shotgun sequence","11..693","Spectinomycin, Streptomycin","JQ414041","GCA_045954795.1"
"blaCTX-M-14",100,"876/876",100,"1..876","JBICGK010000031.1 Escherichia coli strain 41159 contig00031, whole genome shotgun sequence","13116..13991","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AF252622","GCA_045954795.1"
"blaTEM-219",99.88,"861/861",100,"1..861","JBICGK010000094.1 Escherichia coli strain 41159 contig00094, whole genome shotgun sequence","148..1008","Unknown Beta-lactam","KM114268","GCA_045954795.1"
"blaTEM-1A",99.88,"861/861",100,"1..861","JBICGK010000094.1 Escherichia coli strain 41159 contig00094, whole genome shotgun sequence","148..1008","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","HM749966","GCA_045954795.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGK010000038.1 Escherichia coli strain 41159 contig00038, whole genome shotgun sequence","3550..5175","Colistin","KP347127","GCA_045954795.1"
"FloR",99.92,"1215/1215",100,"1..1215","JBICGK010000074.1 Escherichia coli strain 41159 contig00074, whole genome shotgun sequence","1018..2232","Chloramphenicol,Florfenicol","CP136914","GCA_045954795.1"
"catA1",99.85,"660/660",100,"1..660","JBICGK010000090.1 Escherichia coli strain 41159 contig00090, whole genome shotgun sequence","722..1381","Chloramphenicol","V00622","GCA_045954795.1"
"sul1",100,"840/840",100,"1..840","JBICGK010000060.1 Escherichia coli strain 41159 contig00060, whole genome shotgun sequence","2105..2944","Sulfamethoxazole","U12338","GCA_045954795.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICGK010000103.1 Escherichia coli strain 41159 contig00103, whole genome shotgun sequence","1..791","Sulfamethoxazole","AB366440","GCA_045954795.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICGK010000103.1 Escherichia coli strain 41159 contig00103, whole genome shotgun sequence","1..791","Sulfamethoxazole","FN995456","GCA_045954795.1"
"sul2",100,"791/816",96.9362745098039,"1..791","JBICGK010000103.1 Escherichia coli strain 41159 contig00103, whole genome shotgun sequence","1..791","Sulfamethoxazole","HQ840942","GCA_045954795.1"
"tet(B)",99.92,"1206/1206",100,"1..1206","JBICGK010000048.1 Escherichia coli strain 41159 contig00048, whole genome shotgun sequence","1481..2686","Doxycycline, Tetracycline, Minocycline","AF326777","GCA_045954795.1"
"dfrA1",100,"474/474",100,"1..474","JBICGK010000008.1 Escherichia coli strain 41159 contig00008, whole genome shotgun sequence","149895..150368","Trimethoprim","X00926","GCA_045954795.1"
"dfrA36",100,"588/588",100,"1..588","JBICGK010000079.1 Escherichia coli strain 41159 contig00079, whole genome shotgun sequence","1157..1744","Trimethoprim","CP038791","GCA_045954795.1"
"aph(4)-Ia",100,"1026/1026",100,"1..1026","JBICGM010000040.1 Escherichia coli strain 41144 contig00040, whole genome shotgun sequence","7883..8908","Hygromycin","V01499","GCA_045954855.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICGM010000040.1 Escherichia coli strain 41144 contig00040, whole genome shotgun sequence","9137..9913","Gentamicin, Tobramycin","DQ241380","GCA_045954855.1"
"aadA1",100,"792/792",100,"1..792","JBICGM010000055.1 Escherichia coli strain 41144 contig00055, whole genome shotgun sequence","1668..2459","Spectinomycin, Streptomycin","JQ414041","GCA_045954855.1"
"aadA2",100,"792/792",100,"1..792","JBICGM010000060.1 Escherichia coli strain 41144 contig00060, whole genome shotgun sequence","1559..2350","Spectinomycin, Streptomycin","JQ364967","GCA_045954855.1"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICGM010000073.1 Escherichia coli strain 41144 contig00073, whole genome shotgun sequence","334..1194","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045954855.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICGM010000075.1 Escherichia coli strain 41144 contig00075, whole genome shotgun sequence","264..1079","Unknown Aminoglycoside, Kanamycin, Neomycin, Kanamycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin","V00359","GCA_045954855.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICGM010000009.1 Escherichia coli strain 41144 contig00009, whole genome shotgun sequence","4446..5306","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045954855.1"
"blaCTX-M-32",100,"876/876",100,"1..876","JBICGM010000045.1 Escherichia coli strain 41144 contig00045, whole genome shotgun sequence","1406..2281","Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefotaxime, Ceftazidime, Ceftriaxone, Piperacillin, Ticarcillin","AJ557142","GCA_045954855.1"
"mcr-1.1",100,"1626/1626",100,"1..1626","JBICGM010000032.1 Escherichia coli strain 41144 contig00032, whole genome shotgun sequence","3550..5175","Colistin","KP347127","GCA_045954855.1"
"mph(A)",100,"906/906",100,"1..906","JBICGM010000041.1 Escherichia coli strain 41144 contig00041, whole genome shotgun sequence","180..1085","Erythromycin, Azithromycin, Spiramycin, Telithromycin","D16251","GCA_045954855.1"
"FloR",99.84,"1215/1215",100,"1..1215","JBICGM010000040.1 Escherichia coli strain 41144 contig00040, whole genome shotgun sequence","3163..4377","Chloramphenicol,Florfenicol","CP136914","GCA_045954855.1"
"cmlA1",99.92,"1260/1260",100,"1..1260","JBICGM010000055.1 Escherichia coli strain 41144 contig00055, whole genome shotgun sequence","316..1575","Chloramphenicol","M64556","GCA_045954855.1"
"catA1",99.85,"660/660",100,"1..660","JBICGM010000057.1 Escherichia coli strain 41144 contig00057, whole genome shotgun sequence","2017..2676","Chloramphenicol","V00622","GCA_045954855.1"
"sul1",100,"840/840",100,"1..840","JBICGM010000041.1 Escherichia coli strain 41144 contig00041, whole genome shotgun sequence","6396..7235","Sulfamethoxazole","U12338","GCA_045954855.1"
"sul3",100,"792/792",100,"1..792","JBICGM010000056.1 Escherichia coli strain 41144 contig00056, whole genome shotgun sequence","2130..2921","Sulfamethoxazole","AJ459418","GCA_045954855.1"
"tet(A)",99.92,"1200/1200",100,"1..1200","JBICGM010000051.1 Escherichia coli strain 41144 contig00051, whole genome shotgun sequence","1560..2759","Doxycycline, Tetracycline","AJ517790","GCA_045954855.1"
"tet(M)",96.15,"1920/1920",100,"1..1920","JBICGM010000053.1 Escherichia coli strain 41144 contig00053, whole genome shotgun sequence","432..2351","Doxycycline, Tetracycline, Minocycline","X04388","GCA_045954855.1"
"dfrA12",100,"498/498",100,"1..498","JBICGM010000060.1 Escherichia coli strain 41144 contig00060, whole genome shotgun sequence","654..1151","Trimethoprim","AM040708","GCA_045954855.1"
"aph(4)-Ia",100,"1026/1026",100,"1..1026","JBICGN010000046.1 Escherichia coli strain 41143 contig00046, whole genome shotgun sequence","1165..2190","Hygromycin","V01499","GCA_045954895.1"
"aac(3)-IV",100,"777/777",100,"1..777","JBICGN010000046.1 Escherichia coli strain 41143 contig00046, whole genome shotgun sequence","160..936","Gentamicin, Tobramycin","DQ241380","GCA_045954895.1"
"aadA1",100,"792/792",100,"1..792","JBICGN010000065.1 Escherichia coli strain 41143 contig00065, whole genome shotgun sequence","676..1467","Spectinomycin, Streptomycin","JQ414041","GCA_045954895.1"
"aadA2",100,"792/792",100,"1..792","JBICGN010000071.1 Escherichia coli strain 41143 contig00071, whole genome shotgun sequence","1559..2350","Spectinomycin, Streptomycin","JQ364967","GCA_045954895.1"
"aac(3)-IId",99.88,"861/861",100,"1..861","JBICGN010000085.1 Escherichia coli strain 41143 contig00085, whole genome shotgun sequence","334..1194","Apramycin, Gentamicin, Tobramycin, Dibekacin, Netilmicin, Sisomicin","EU022314","GCA_045954895.1"
"aph(3')-Ia",100,"816/816",100,"1..816","JBICGN010000088.1 Escherichia coli strain 41143 contig00088, whole genome shotgun sequence","264..1079","Kanamycin, Kanamycin, Neomycin, Neomycin, Kanamycin, Lividomycin, Paromomycin, Ribostamycin, Unknown Aminoglycoside","V00359","GCA_045954895.1"
"blaTEM-1B",100,"861/861",100,"1..861","JBICGN010000008.1 Escherichia coli strain 41143 contig00008, whole genome shotgun sequence","199758..200618","Amoxicillin, Ampicillin, Cephalothin, Piperacillin, Ticarcillin","AY458016","GCA_045954895.1"
